date,nav,daily_return_pct,positions,trades_closed,trades_opened
20230103,0.9983108108108109,-0.16891891891891891,37,0,50
20230104,0.9970380891106159,-0.12748752056098567,41,37,50
20230105,0.9952505327715383,-0.17928666503323865,48,41,50
20230110,0.9904805168010691,-0.4792779117822647,48,48,50
20230112,0.9906081949606939,0.012890527118807255,46,45,47
20230113,0.9881228078095922,-0.25089507271846134,48,40,44
20230116,0.9830639354926919,-0.5119679737091065,48,30,32
20230117,0.9844222753270644,0.13817410906155905,48,24,26
20230118,0.9811762105792805,-0.3297431223511696,50,38,40
20230120,0.9838273769906339,0.2702028833116804,49,34,34
20230201,0.983421250096549,-0.04128030014038086,50,30,31
20230202,0.9825647187306554,-0.08709709758758545,50,30,30
20230203,0.9801399226593835,-0.24678232640028003,48,34,34
20230206,0.9792247895242783,-0.09336760129332543,50,34,36
20230208,0.9772587567094334,-0.20077441215515138,50,36,36
20230209,0.9782811305476016,0.10461649293484895,46,44,44
20230210,0.9811711423498842,0.29541731022298334,48,35,39
20230213,0.9801989800835522,-0.09908182419670954,45,46,48
20230214,0.9813522723003012,0.11765898967275813,49,29,34
20230215,0.978883000047033,-0.2516193545341492,50,28,29
20230216,0.9776635889882186,-0.12457168617248533,50,32,32
20230220,0.978043397201005,0.038848558651904265,48,34,34
20230221,0.9772370792606268,-0.08244193894522531,49,32,34
20230223,0.9765483120649581,-0.07048107468352026,49,38,39
20230224,0.9716498941457145,-0.5016052824755509,48,35,36
20230227,0.9690319065347731,-0.26943733815183035,47,38,40
20230301,0.9694998773027046,0.04829260675274596,49,30,33
20230302,0.9674835917483804,-0.20797171835996667,49,34,35
20230308,0.9645670223163463,-0.301459317440572,46,40,41
20230310,0.9598238940888787,-0.4917365115880966,48,40,44
20230313,0.9545415364075931,-0.550346549384448,49,39,41
20230315,0.9562133445213502,0.17514252130389213,50,35,36
20230316,0.9546813341050489,-0.16021638111192354,49,37,37
20230317,0.9538397485682566,-0.08815355519453684,48,37,38
20230320,0.9526202138954991,-0.1278553000740383,46,38,40
20230321,0.9517887849443488,-0.08727811346248704,49,34,38
20230322,0.9487311455558973,-0.32125188243632413,49,31,32
20230323,0.9499499219908851,0.12846383727326685,49,30,31
20230324,0.950383376352986,0.045629180240631104,50,33,34
20230327,0.9392417087483004,-1.1723340161357607,28,46,27
20230328,0.9381477486201134,-0.11647269472783925,49,17,39
20230329,0.9322309942727348,-0.6306847035641573,49,39,40
20230330,0.9314252354663781,-0.08643338521321614,48,28,29
20230331,0.9297591376097781,-0.17887617740631104,50,25,27
20230403,0.9289838497896832,-0.08338587799072265,50,27,27
20230404,0.9290023862306427,0.001995345878601074,50,19,19
20230406,0.9259753352658002,-0.32583887939453127,50,26,26
20230410,0.9190649398437198,-0.7462828823725383,45,35,35
20230411,0.9188299204995034,-0.025571571063995362,50,31,36
20230413,0.9198503567281372,0.11105822806455651,49,29,29
20230414,0.9199252793480978,0.008145087884396923,49,32,33
20230417,0.9197601370751168,-0.017951705066525207,49,29,30
20230419,0.9195737830587383,-0.020261153845076863,47,26,27
20230420,0.9159932617044018,-0.38936748962402346,50,23,26
20230424,0.9133922717200016,-0.2839529604792595,50,27,27
20230425,0.9109067671157127,-0.2721179805483137,49,24,24
20230426,0.9102747080692878,-0.06938789668083191,50,23,24
20230427,0.906852389165955,-0.375965505027771,50,30,30
20230428,0.9059909495474602,-0.09499226431846619,50,28,28
20230508,0.9073821220319023,0.1535525807555841,49,31,31
20230509,0.9028926545244852,-0.4947714307356854,49,33,34
20230510,0.9031433632891315,0.027767283673189126,49,37,38
20230512,0.903581386701815,0.04849987615346909,50,31,32
20230515,0.9033602394488627,-0.024474525062934214,46,35,35
20230516,0.9034788112188182,0.013125635242462158,50,30,34
20230519,0.9008494595504418,-0.29102527206248424,47,34,34
20230523,0.89974065406388,-0.12308443711728466,49,32,35
20230524,0.8972448333814245,-0.2773933434243105,49,31,32
20230525,0.8915567908362346,-0.6339454219818115,50,34,35
20230526,0.8816617849758185,-1.1098570458013184,49,39,39
20230529,0.8745194013534335,-0.8101047072807948,48,27,28
20230531,0.8728983098313309,-0.18536941771604576,49,25,27
20230601,0.8685191306811881,-0.5016826245188714,48,28,29
20230605,0.866383053784992,-0.24594471448437963,47,32,34
20230606,0.8669425757567976,0.06458136148452759,50,25,28
20230607,0.8660992774717237,-0.09727268087367218,48,26,26
20230608,0.865273165666768,-0.09538303823173046,50,26,28
20230609,0.8586455382375124,-0.7659578145068625,46,33,33
20230612,0.8587468706956851,0.011801430702209473,50,29,33
20230613,0.8485323772331352,-1.1894649996540763,33,46,35
20230614,0.8499879894433565,0.17154468695322672,48,27,44
20230616,0.8491835908731554,-0.09463646312554679,48,29,31
20230619,0.8497604399927696,0.06792984765768051,50,28,30
20230620,0.849386324485981,-0.044025997114181516,50,29,29
20230627,0.846963426634701,-0.2852527503013611,50,29,29
20230628,0.8457801654062247,-0.13970629560450715,48,26,26
20230629,0.8462823055667633,0.059370056319236746,50,23,25
20230630,0.843841807031617,-0.28837877373695375,50,27,27
20230704,0.8426010448784967,-0.14703729333877563,50,37,37
20230705,0.8442798574872399,0.19924169557435173,49,31,31
20230706,0.8459288565707407,0.1953142751040666,46,40,41
20230707,0.846133564580159,0.024199199238601997,49,41,45
20230710,0.8414220559726214,-0.5568280003022175,49,41,42
20230711,0.8409290451886956,-0.05859256724093823,47,39,40
20230712,0.8389925324399813,-0.23028253808021545,50,28,31
20230713,0.835416634872097,-0.42621327718909907,49,32,32
20230714,0.8314356959976823,-0.47652137966156005,50,33,34
20230717,0.8301742805738466,-0.15171533167362214,48,40,40
20230718,0.8312971709278157,0.13525959310531616,50,30,32
20230719,0.8283822007460686,-0.3506532060603301,48,37,37
20230720,0.8277505096927102,-0.07625599062720011,43,43,45
20230721,0.8246718021976751,-0.3719366474540866,49,39,46
20230724,0.8249844658435402,0.0379137064019839,48,31,32
20230725,0.8236386100274007,-0.16313711007436119,48,33,35
