date,nav,daily_return_pct,positions,trades_closed,trades_opened
20230327,0.9494050618533416,-1.0923786614107531,43,38,46
20230328,0.956427369952471,0.7396535347537562,44,31,38
20230329,0.9561263848899508,-0.03146972493427556,41,33,39
20230330,0.9520308562786558,-0.4283459463119506,40,31,40
20230331,0.9529765323740728,0.09933250473766791,41,28,38
20230403,0.9517871575447493,-0.12480630833169688,46,20,29
20230404,0.9504888557549935,-0.13640673542022705,40,23,27
20230406,0.9497767005746462,-0.07492514783685858,44,28,38
20230410,0.9503580793188421,0.06121215058697595,36,33,39
20230411,0.950956174930971,0.06293371152877807,45,19,33
20230413,0.9534112259072197,0.25816657391461456,44,26,31
20230414,0.9523104150451004,-0.11546023711562158,28,25,31
20230417,0.946142409020919,-0.6476886030789968,37,13,35
20230419,0.9448688939186245,-0.1346007842109317,42,27,40
20230420,0.943156200427533,-0.18126255421411422,42,26,34
20230424,0.9485206005570733,0.5687711247732473,43,27,35
20230425,0.9467336853713795,-0.18838970757666088,42,24,31
20230426,0.9515985746340317,0.5138603746568835,37,25,33
20230427,0.9512792946454971,-0.03355196161967952,41,21,34
20230428,0.9509630514714296,-0.03324398794839548,43,25,34
20230508,0.9598590812752856,0.9354758620843655,41,27,34
20230509,0.9571400437989415,-0.2832746524345584,41,27,36
20230510,0.9600146334202492,0.30033114171028136,40,24,33
20230512,0.9575871818256895,-0.2528556867837906,40,28,38
20230515,0.9634038997069894,0.6074348102916372,44,32,42
20230516,0.96176143558247,-0.17048551755073743,39,31,37
20230519,0.9560285360438139,-0.5960833244664329,42,25,36
20230523,0.9571659571291715,0.11897354968758515,43,27,35
20230524,0.953486583095239,-0.38440293519924845,39,33,40
20230525,0.9495730349032816,-0.4104460682868957,40,22,33
20230526,0.9403900290672627,-0.967066828825257,44,28,38
20230529,0.9346532111408397,-0.6100466560787624,45,23,29
20230531,0.9306144416499011,-0.4321142261961232,46,28,33
20230601,0.9314823845474738,0.09326557366053265,45,36,40
20230605,0.940393207445458,0.9566281709463701,46,39,44
20230606,0.9417153947721623,0.1405994126963061,43,28,32
20230607,0.9371766704191256,-0.4819634868701299,48,23,30
20230608,0.9313277771473361,-0.6240971906795059,43,30,32
20230609,0.9210616953398554,-1.1023059828544772,43,30,37
20230612,0.9213209613163177,0.028148600443815574,39,22,29
20230613,0.9174073911897984,-0.42477814907497835,45,31,42
20230614,0.9152133841172259,-0.2391529754002889,45,25,30
20230616,0.9127613696001148,-0.2679172485524958,44,23,28
20230619,0.9118804018715299,-0.09651676308025013,44,25,31
20230620,0.9081412392964506,-0.41004966960634504,35,29,35
20230627,0.9029325578637263,-0.5735541133182804,41,22,37
20230628,0.903814799470523,0.09770847214592827,45,21,30
20230629,0.9029796344086403,-0.09240444639454719,46,23,28
20230630,0.9042866978419579,0.1447500456833258,41,29,33
20230704,0.9046743772226198,0.04287129088451988,38,29,38
20230705,0.9074313897903143,0.30475192368757437,41,25,37
20230706,0.9031995709344752,-0.46635138517931884,38,38,47
20230707,0.9093263450256743,0.6783411206517901,42,29,41
20230710,0.9083947907905966,-0.10244443484715053,42,33,41
20230711,0.8993667217008467,-0.9938486197055915,39,34,42
20230712,0.8972225613419823,-0.23840779374285445,41,24,35
20230713,0.8989556405458343,0.19316045745213828,45,25,34
20230714,0.8911501375679719,-0.86828566681255,44,28,33
20230717,0.8882232145946247,-0.32844330601070243,46,35,41
20230718,0.8893391303232107,0.12563460515893024,46,29,33
20230719,0.8892508476799901,-0.009926769239146534,41,37,41
20230720,0.8902156261443722,0.1084933983362638,39,38,47
20230721,0.891527918706117,0.14741288775489444,42,26,37
20230724,0.8930467282222293,0.1703602864525535,44,24,32
20230725,0.8871301178618868,-0.6625196838378906,45,29,35
20230726,0.8891020051409059,0.22227712026862212,43,30,35
20230728,0.8867442157361577,-0.265187727742725,36,39,46
20230803,0.8873501413385978,0.0683314975939299,38,23,37
20230804,0.8812953640785638,-0.6823436406850815,40,27,39
20230808,0.8795659169938252,-0.196239212780464,41,27,37
20230809,0.8752767613712181,-0.48764459146694705,44,34,43
20230810,0.877651190438601,0.27127751725785276,47,30,36
20230814,0.8823876501547648,0.5396745048333769,46,35,38
