date,nav,daily_return_pct,positions,trades_closed,trades_opened
20230411,0.9446796022916212,0.5298890516493056,36,30,41
20230413,0.9479872196986793,0.3501311343056815,42,29,43
20230414,0.9510087931153741,0.31873567004998526,15,36,44
20230417,0.9469856711954389,-0.42303729987144467,30,10,45
20230419,0.9438935161325102,-0.32652606654811556,37,24,44
20230420,0.9398014635178557,-0.43352905224109517,29,35,48
20230424,0.9343975968464135,-0.5750008785062367,36,26,47
20230425,0.9271266738170074,-0.7781401679483619,37,33,47
20230426,0.9289903228607654,0.2010134209692478,32,32,45
20230427,0.9191720990334387,-1.0568704092731842,26,22,40
20230428,0.9157448401698869,-0.3728636745127236,41,17,41
20230508,0.9212533848727608,0.6015370724722743,32,32,41
20230509,0.9186789683477038,-0.2794471713569429,36,24,42
20230510,0.916154095795277,-0.2748373087247213,33,31,45
20230512,0.9168229300224598,0.07300455570220947,38,28,45
20230515,0.9201418918183066,0.3620068485596601,34,33,45
20230516,0.917875574924512,-0.2463008057720521,34,29,45
20230519,0.912905337197234,-0.5414936253954382,34,29,45
20230523,0.9120253321279674,-0.09639609206013564,41,27,43
20230524,0.9109081786767581,-0.12249149358633793,33,34,43
20230525,0.9034337444706416,-0.8205474910736082,35,28,45
20230526,0.8993449296925714,-0.45258601453569197,36,28,43
20230529,0.8915817300556679,-0.8632060270309448,40,28,42
20230531,0.8982393506312388,0.7467201660979877,44,34,44
20230601,0.8908323267169318,-0.8246158341984999,38,41,47
20230605,0.8994002781044987,0.9617917009302087,37,36,48
20230606,0.9028808264679848,0.3869854666735675,37,33,46
20230607,0.903414069221957,0.05906014817682179,44,29,42
20230608,0.9007252222654655,-0.2976317336752608,37,34,40
20230609,0.8955242235844231,-0.5774234530660841,36,34,47
20230612,0.893938440555699,-0.1770787419213189,36,32,46
20230613,0.8920761204824795,-0.20832755240527065,44,32,46
20230614,0.8916529724021297,-0.04743407772433373,31,39,45
20230616,0.8896425455338418,-0.22547189663618036,39,27,46
20230619,0.8899962767585874,0.039761050831187854,33,35,46
20230620,0.887259622012646,-0.3074905836582184,44,28,45
20230627,0.883085572817636,-0.4704428209571374,36,38,44
20230628,0.8809244119013536,-0.24472836866611386,41,31,45
20230629,0.8794864846691173,-0.16322935461997984,40,32,41
20230630,0.8816468233397099,0.24563636943272182,35,33,43
20230704,0.8781822817578847,-0.39296252083134003,37,32,47
20230705,0.8830308025734799,0.5521087041166094,36,34,47
20230706,0.8892307584762198,0.702122268517812,30,36,50
20230707,0.8882918188501061,-0.10559009763929578,27,30,50
20230710,0.8875348087514585,-0.08522087928576347,39,25,48
20230711,0.8838509565096601,-0.41506566339417517,38,38,49
20230712,0.8800322600932874,-0.43205207713445026,30,32,44
20230713,0.8766341728788889,-0.38613211907008116,34,24,44
20230714,0.8706101947514288,-0.6871712641177639,31,25,41
20230717,0.8684186143749077,-0.25172923424664667,34,28,47
20230718,0.8680112813685816,-0.046905144544748166,26,31,47
20230719,0.8695743405286842,0.18007359969310271,39,24,48
20230720,0.867636494658297,-0.22284993704035877,30,39,50
20230721,0.8672225080273981,-0.04771429434418678,32,30,50
20230724,0.8666233002409837,-0.0690950454892339,37,29,47
20230725,0.8719586739591582,0.6156508504549663,30,33,46
20230726,0.8653542957914626,-0.7574187131722767,30,27,47
20230728,0.8625474251444669,-0.3243608612849795,29,30,50
20230803,0.8611727239320776,-0.15937688436773087,36,28,49
20230804,0.8527635921277126,-0.9764744714590219,39,33,47
20230808,0.8499671402384,-0.3279281520843506,42,36,47
20230809,0.8562057103469599,0.7339777990487906,39,37,45
20230810,0.8526814898981658,-0.4116090801783971,42,34,45
